S.No,Names of Chapters (Surah),No of Verses in each Surah (Chapter),Page No
66,"At-Tahrim (Banning, Prohibition)",12,561
67,"Al-Mulk (The Sovereignty, Control)",30,563
68,Al-Qalam (The Pen),52,565
69,Al-Haaqqa (The Reality),52,568
70,Al-Maarij (The Ascending Stairways),44,570
71,Nooh (Nooh),28,572
72,Al-Jinn,28,574
73,"Al-Muzzammil (The Enshrouded One, Bundled Up)",20,577
,Al-Muddaththir,,
74,"(The Cloaked One, The Man Wearing A Cloak)",56,579
75,"Al-Qiyama (The Rising Of The Dead, Resurrection)",40,581
76,Al-Insan (Man),31,583
,No of Verses in each,,
,Names of Chapters (Surah),Page No,
S.No,Surah (Chapter),,
77,"Al-Mursalat (The Emissaries, Winds Sent Forth)",50,585
78,"An-Naba (The Tidings, The Announcement)",40,587
79,"An-Naziat (Those Who Drag Forth, Soul-Snatchers)",46,588
80,Abasa (He Frowned),42,590
81,At-Takwir (The Overthrowing),29,591
82,"Al-Infitar (The Cleaving, Bursting Apart)",19,592
83,"Al-Mutaffifin (Defrauding, The Cheats, Cheating)",36,593
84,"Al-Inshiqaq (The Sundering, Splitting Open)",25,595
85,"Al-Burooj (The Mansions Of The Stars, Constellations)",22,596
86,"At-Tariq (The Morning Star, The Nightcomer)",17,597
87,"Al-Ala (The Most High, Glory To Your Lord In The Highest)",19,598
88,"Al-Ghashiya (The Overwhelming, The Pall)",26,598
89,"Al-Fajr (The Dawn, Daybreak)",30,599
90,"Al-Balad (The City, This Countryside)",20,601
91,Ash-Shams (The Sun),15,601
92,Al-Lail (The Night),21,602
93,"Ad-Dhuha (The Morning Hours, Morning Bright)",11,603
94,"Al-Inshirah (Solace, Consolation, Relief)",8,603
95,"At-Tin (The Fig, The Figtree)",8,604
96,"Al-Alaq (The Clot, Read)",19,604
97,"Al-Qadr (Power, Fate)",5,605
98,"Al-Bayyina (The Clear Proof, Evidence)",8,605
99,Az-Zalzala (The Earthquake),8,606
100,"Al-Adiyat (The Courser, The Chargers)",11,606
101,"Al-Qaria (The Calamity, The Stunning Blow, The Disaster",11,607
102,"At-Takathur (Rivalry In World Increase, Competition",8,607
103,"Al-Asr (The Declining Day, Eventide, The Epoch)",3,608
,No of Verses in each,,
,Names of Chapters (Surah),,Page No
S.No,,Surah (Chapter),
104,"Al-Humaza (The Traducer, The Gossipmonger)",9,608
105,Al-Fil (The Elephant),5,608
106,"Quraish (Winter, Quraysh)",4,609
107,"Al-Maun (Small Kindnesses, Almsgiving, Have You Seen)",7,609
108,"Al-Kauther (Abundance, Plenty)",3,609
109,Al-Kafiroon (The Disbelievers),6,610
110,"An-Nasr (Succor, Divine Support)",3,610
111,"Al-Masadd (Palm Fibre, The Flame)",5,610
112,Al-Ikhlas (Sincerity),4,611
113,"Al-Falaq (The Daybreak, Dawn)",5,611
114,An-Nas (Mankind),6,611
,Total No Of,Verses in Quran =,"6,236"
